Title,Author,Publisher,Published Date,Genre,ISBN,Author Name,Nationality,Birth Date,Publisher Name,Country
The Skull Beneath the Skin,Glenda Lockman,"Dickinson, Hartmann and Doyle",2003-03-06,Folklore,192379336-5,Glenda Lockman,India,1951-05-09,"Dickinson, Hartmann and Doyle",Mexico
Fear and Trembling,Sam Moore Jr.,"Schiller, Schmitt and Waelchi",1998-10-20,Mythopoeia,402571135-4,Sam Moore Jr.,Peru,1935-08-03,"Schiller, Schmitt and Waelchi",Sierra Leone
A Catskill Eagle,Cecil Swift,"Lehner, Brekke and Parker",2011-03-01,Fable,902740477-1,Cecil Swift,Greece,1985-03-25,"Lehner, Brekke and Parker",Northern Mariana Islands
A Darkling Plain,Loris Miller,"MacGyver, Russel and Mohr",2021-08-29,Biography/Autobiography,394434429-4,Loris Miller,Bosnia and Herzegovina,1969-02-09,"MacGyver, Russel and Mohr",French Guiana
A Glass of Blessings,Francina Johnston DVM,Wilderman-Thiel,2007-03-20,Biography/Autobiography,857235109-4,Francina Johnston DVM,Cameroon,1987-10-12,Wilderman-Thiel,"Virgin Islands, U.S."
Postern of Fate,Orpha Ward I,Bergstrom-Huels,2013-10-01,Classic,637755054-5,Orpha Ward I,Libyan Arab Jamahiriya,1973-03-18,Bergstrom-Huels,Argentina
A Summer Bird-Cage,Charlena Ferry,McGlynn Group,2021-03-01,Mystery,377013901-1,Charlena Ferry,Libyan Arab Jamahiriya,1987-05-12,McGlynn Group,Tanzania
For a Breath I Tarry,Sherika Schultz,Ullrich-Stoltenberg,2014-10-15,Horror,253533380-5,Sherika Schultz,Iceland,1958-09-28,Ullrich-Stoltenberg,Papua New Guinea
Noli Me Tangere,Felton Krajcik,"Green, Williamson and Jones",2004-03-08,Folklore,116202362-7,Felton Krajcik,Saint Barthelemy,1983-02-27,"Green, Williamson and Jones",Croatia
Dying of the Light,Benedict O'Conner IV,Rutherford Group,1989-06-20,Speech,937642830-7,Benedict O'Conner IV,Dominican Republic,1936-10-22,Rutherford Group,Haiti
"The World, the Flesh and the Devil",Onita Feest,Christiansen Inc,2001-12-01,Fanfiction,251436019-6,Onita Feest,Uzbekistan,1994-09-30,Christiansen Inc,Saint Kitts and Nevis
"Those Barren Leaves, Thrones, Dominations",Prof. Mickey Kreiger,"Nitzsche, Rolfson and Christiansen",1979-11-13,Fanfiction,340972360-9,Prof. Mickey Kreiger,Thailand,1993-03-28,"Nitzsche, Rolfson and Christiansen",Libyan Arab Jamahiriya
The Monkey's Raincoat,Pres. Thao Carter,"Jacobs, Skiles and Klocko",1994-09-20,Fanfiction,252933045-X,Pres. Thao Carter,Myanmar,1999-07-27,"Jacobs, Skiles and Klocko",Saint Helena
Moab Is My Washpot,Johnny Lockman,Prohaska-Denesik,1997-04-30,Fairy tale,962369110-6,Johnny Lockman,Chad,1948-01-17,Prohaska-Denesik,Spain
A Time to Kill,Derek Armstrong,"VonRueden, Ratke and D'Amore",2021-07-20,Fanfiction,190480819-0,Derek Armstrong,Malaysia,1985-10-03,"VonRueden, Ratke and D'Amore",Cape Verde
"Ah, Wilderness!",Geoffrey Conroy,"Langworth, Pagac and Roberts",1975-02-27,Mystery,365169240-X,Geoffrey Conroy,Wallis and Futuna,1976-03-17,"Langworth, Pagac and Roberts",Holy See (Vatican City State)
The Little Foxes,Melaine Koch,Littel-Lind,1979-10-16,Crime/Detective,422486989-6,Melaine Koch,Liechtenstein,1944-04-08,Littel-Lind,Yemen
Many Waters,Neal Terry PhD,Fay Group,2004-11-22,Historical fiction,630917595-5,Neal Terry PhD,Taiwan,1952-02-26,Fay Group,Malawi
The Other Side of Silence,Rosaura Daniel,"Adams, Hermiston and Zemlak",1979-11-26,Historical fiction,665895376-7,Rosaura Daniel,Guinea-Bissau,1942-02-24,"Adams, Hermiston and Zemlak",Somalia
Time To Murder And Create,Jann Shields,"Olson, Gutkowski and Oberbrunner",1993-09-12,Historical fiction,860649982-X,Jann Shields,Zambia,1960-09-27,"Olson, Gutkowski and Oberbrunner",Libyan Arab Jamahiriya
Dulce et Decorum Est,Vance Zulauf,"Grimes, Leuschke and Murray",1991-07-26,Folklore,436426201-3,Vance Zulauf,Ethiopia,2001-05-23,"Grimes, Leuschke and Murray",Somalia
Wildfire at Midnight,Willis Sporer IV,Fritsch Group,2004-02-22,Realistic fiction,433821472-4,Willis Sporer IV,Belarus,1989-09-01,Fritsch Group,Honduras
Dance Dance Dance,Yoko Grant DDS,"Denesik, Wyman and Dietrich",2006-01-26,Speech,449821048-4,Yoko Grant DDS,Malawi,1986-07-02,"Denesik, Wyman and Dietrich",Argentina
The Last Enemy,Nell Bode,Runolfsson Inc,2009-04-08,Biography/Autobiography,881812394-7,Nell Bode,Macedonia,1972-11-26,Runolfsson Inc,Micronesia
Great Work of Time,Prof. Leopoldo Waters,Bruen-Pfeffer,2007-06-05,Historical fiction,695998426-2,Prof. Leopoldo Waters,Libyan Arab Jamahiriya,1995-09-03,Bruen-Pfeffer,Mayotte
Eyeless in Gaza,Marina Hills,Schiller-Spinka,1986-03-12,Short story,465516045-4,Marina Hills,Bolivia,1989-10-31,Schiller-Spinka,Niger
The Wealth of Nations,Mr. Louvenia Walker,"Mills, Herman and Herzog",1996-07-24,Fable,797108108-1,Mr. Louvenia Walker,Pakistan,1966-03-24,"Mills, Herman and Herzog",Uganda
The Skull Beneath the Skin,Marisol Abshire,"Klein, Ernser and Osinski",1980-07-18,Biography/Autobiography,423358365-7,Marisol Abshire,Syrian Arab Republic,1991-02-14,"Klein, Ernser and Osinski",Sudan
"Alone on a Wide, Wide Sea",Orpha Ward I,"Runolfsson, Hudson and Mosciski",2004-09-26,Mythopoeia,982571653-3,Orpha Ward I,Libyan Arab Jamahiriya,1973-03-18,"Runolfsson, Hudson and Mosciski",Indonesia
Specimen Days,Tiara Sawayn,Olson and Sons,1980-07-09,Science fiction,971445433-6,Tiara Sawayn,Libyan Arab Jamahiriya,1939-08-09,Olson and Sons,Fiji
Some Buried Caesar,Natasha Wisoky,"Grimes, Leuschke and Murray",1994-11-02,Essay,680697432-5,Natasha Wisoky,United Arab Emirates,1999-02-19,"Grimes, Leuschke and Murray",Somalia
Cabbages and Kings,Myung Brown,Welch and Sons,1997-11-28,Legend,364794682-6,Myung Brown,Brazil,1969-11-03,Welch and Sons,Spain
The Road Less Traveled,Nell Bode,"Homenick, McGlynn and Schuppe",1994-05-25,Fable,965549502-7,Nell Bode,Macedonia,1972-11-26,"Homenick, McGlynn and Schuppe",South Georgia and the South Sandwich Islands
The Soldier's Art,Dan Schmidt,Kunze and Sons,1976-02-14,Fable,896263444-9,Dan Schmidt,Cyprus,1983-03-23,Kunze and Sons,Seychelles
Terrible Swift Sword,Pres. Stanton Kihn,Padberg Group,1979-03-01,Classic,191024515-1,Pres. Stanton Kihn,Saint Kitts and Nevis,1970-08-05,Padberg Group,Tokelau
Unweaving the Rainbow,Elvis Rowe DC,Stanton-Ledner,2012-03-16,Fanfiction,223521157-7,Elvis Rowe DC,French Southern Territories,2002-05-05,Stanton-Ledner,Micronesia
The Curious Incident of the Dog in the Night-Time,Msgr. Jan Zulauf,Von-Simonis,2018-04-13,Textbook,916066720-6,Msgr. Jan Zulauf,Togo,1939-12-22,Von-Simonis,Saint Vincent and the Grenadines
This Lime Tree Bower,Sydney Pouros,O'Kon LLC,1981-07-01,Fairy tale,946111253-X,Sydney Pouros,Angola,1936-07-21,O'Kon LLC,Saint Vincent and the Grenadines
What's Become of Waring,Grazyna Dach II,"Klein, Ernser and Osinski",1997-12-27,Fanfiction,149036038-7,Grazyna Dach II,Sri Lanka,1959-11-20,"Klein, Ernser and Osinski",Sudan
The Wings of the Dove,Myung Brown,Swaniawski-Schimmel,2003-11-07,Mythopoeia,800369994-0,Myung Brown,Brazil,1969-11-03,Swaniawski-Schimmel,Cayman Islands
A Monstrous Regiment of Women,Sen. Larhonda Zulauf,"Jakubowski, Boehm and Bode",1991-07-17,Science fiction,357964199-9,Sen. Larhonda Zulauf,Guadeloupe,2004-12-06,"Jakubowski, Boehm and Bode",Costa Rica
The Moving Toyshop,Glenda Lockman,Fay-Watsica,1982-03-06,Fable,431530738-6,Glenda Lockman,India,1951-05-09,Fay-Watsica,Cape Verde
Clouds of Witness,Pasty Huels,Kshlerin Inc,2012-08-13,Mythopoeia,697978665-2,Pasty Huels,Portugal,1946-03-08,Kshlerin Inc,Cocos (Keeling) Islands
Fear and Trembling,Clemente Rau,"Jakubowski, Stamm and Lebsack",1989-02-24,Fanfiction,974151871-4,Clemente Rau,Colombia,1988-12-28,"Jakubowski, Stamm and Lebsack",Armenia
When the Green Woods Laugh,Janett Daniel,Feil-Jast,2000-12-03,Tall tale,168257115-7,Janett Daniel,Solomon Islands,1968-09-03,Feil-Jast,Czech Republic
A Handful of Dust,Marcela Torphy DVM,Hermann and Sons,1984-11-08,Fantasy,266972661-5,Marcela Torphy DVM,Mayotte,1947-02-24,Hermann and Sons,Gabon
"Absalom, Absalom!",Fr. Krysta Kohler,"Johns, Kihn and Swift",1982-11-03,Suspense/Thriller,582985295-0,Fr. Krysta Kohler,South Africa,1950-07-03,"Johns, Kihn and Swift",Heard Island and McDonald Islands
The Yellow Meads of Asphodel,Lonny Rutherford,Ullrich-Stoltenberg,2021-04-20,Suspense/Thriller,125157116-6,Lonny Rutherford,Palestinian Territory,1948-07-19,Ullrich-Stoltenberg,Papua New Guinea
The Millstone,Myung Brown,"Altenwerth, Volkman and Weissnat",1996-07-12,Fantasy,300802957-4,Myung Brown,Brazil,1969-11-03,"Altenwerth, Volkman and Weissnat",Georgia
Little Hands Clapping,Pasty Huels,"Olson, Gutkowski and Oberbrunner",2002-08-14,Legend,245516213-3,Pasty Huels,Portugal,1946-03-08,"Olson, Gutkowski and Oberbrunner",Libyan Arab Jamahiriya
Oh! To be in England,Lesley Purdy,Larson-Morar,2023-01-23,Science fiction,953599186-8,Lesley Purdy,Saint Kitts and Nevis,1988-12-01,Larson-Morar,Cuba
The Wealth of Nations,Gov. Pearlene Rippin,Emard-Mante,1990-01-05,Short story,672052387-2,Gov. Pearlene Rippin,Somalia,1954-07-26,Emard-Mante,Samoa
The Curious Incident of the Dog in the Night-Time,Bryan Feest,Daugherty-Wolff,1974-05-22,Fairy tale,114452631-0,Bryan Feest,Namibia,1937-06-26,Daugherty-Wolff,Burundi
Nine Coaches Waiting,Clemente Gerlach,Dibbert LLC,1992-09-07,Humor,307947617-4,Clemente Gerlach,Japan,1945-09-07,Dibbert LLC,Seychelles
I Will Fear No Evil,Trey Graham Esq.,Gerhold and Sons,2020-04-15,Horror,395145119-X,Trey Graham Esq.,Turkmenistan,2002-04-14,Gerhold and Sons,Uganda
A Monstrous Regiment of Women,Nicki Zemlak,Tromp Inc,1996-12-05,Textbook,466209371-6,Nicki Zemlak,Barbados,1942-08-24,Tromp Inc,Northern Mariana Islands
His Dark Materials,Prof. Mickey Kreiger,Von-Simonis,2007-04-20,Reference book,697105413-X,Prof. Mickey Kreiger,Thailand,1993-03-28,Von-Simonis,Saint Vincent and the Grenadines
The House of Mirth,Benedict O'Conner IV,"D'Amore, Muller and Stamm",1990-10-28,Fiction in verse,563152236-5,Benedict O'Conner IV,Dominican Republic,1936-10-22,"D'Amore, Muller and Stamm",Grenada
Number the Stars,Cory Glover PhD,"Watsica, Schuster and Marvin",2008-12-15,Short story,941161927-4,Cory Glover PhD,Paraguay,1965-08-09,"Watsica, Schuster and Marvin",Papua New Guinea
Eyeless in Gaza,Eduardo Langosh,"Runolfsson, Hudson and Mosciski",1976-07-21,Historical fiction,952536635-9,Eduardo Langosh,French Polynesia,1996-02-14,"Runolfsson, Hudson and Mosciski",Indonesia
That Hideous Strength,Yoko Grant DDS,Dibbert-DuBuque,2024-02-29,Fiction narrative,213490173-X,Yoko Grant DDS,Malawi,1986-07-02,Dibbert-DuBuque,Comoros
The Wind's Twelve Quarters,Earlean Hermiston,"Conroy, Ernser and Wolf",1989-02-20,Speech,177750707-3,Earlean Hermiston,United States of America,2005-03-26,"Conroy, Ernser and Wolf",Mauritania
Things Fall Apart,Sen. Hung Bartoletti,Prohaska LLC,1995-08-26,Mystery,552197292-7,Sen. Hung Bartoletti,Kenya,1964-06-06,Prohaska LLC,Iceland
The Curious Incident of the Dog in the Night-Time,Charlena Ferry,"Legros, Moore and Blick",1990-05-04,Crime/Detective,303264353-8,Charlena Ferry,Libyan Arab Jamahiriya,1987-05-12,"Legros, Moore and Blick",Sweden
The Man Within,Jerold Morar,"Watsica, Schuster and Marvin",2020-08-16,Fanfiction,800700534-X,Jerold Morar,Albania,1990-01-04,"Watsica, Schuster and Marvin",Papua New Guinea
Ring of Bright Water,Rosalba Hermiston,"Kertzmann, Swaniawski and Bode",2011-01-28,Mystery,358866441-6,Rosalba Hermiston,Cape Verde,1948-04-19,"Kertzmann, Swaniawski and Bode",Barbados
"The World, the Flesh and the Devil",Florentina D'Amore,Hoppe-Durgan,2012-06-19,Mythology,200128924-3,Florentina D'Amore,Mauritania,1997-12-28,Hoppe-Durgan,Czech Republic
"If Not Now, When?",Maragaret Murphy,"Johns, Kihn and Swift",1999-07-20,Fiction narrative,394789241-1,Maragaret Murphy,Paraguay,1960-09-09,"Johns, Kihn and Swift",Heard Island and McDonald Islands
A Many-Splendoured Thing,Lizette Friesen IV,"Bayer, Wolff and Block",1991-10-18,Comic/Graphic Novel,154218877-6,Lizette Friesen IV,Mexico,1992-10-04,"Bayer, Wolff and Block",Lebanon
Shall not Perish,Rosalba Hermiston,Lindgren and Sons,1988-03-16,Fairy tale,450054670-7,Rosalba Hermiston,Cape Verde,1948-04-19,Lindgren and Sons,Armenia
By Grand Central Station I Sat Down and Wept,Napoleon Bailey,Feest-McGlynn,1987-04-30,Legend,193962999-3,Napoleon Bailey,Belgium,1934-11-19,Feest-McGlynn,Suriname
Consider Phlebas,Albert Doyle,Bruen-Pfeffer,2006-12-14,Comic/Graphic Novel,723304493-7,Albert Doyle,"Virgin Islands, U.S.",1984-06-03,Bruen-Pfeffer,Mayotte
In a Dry Season,Lindsey Denesik,Bruen-Pfeffer,1986-12-05,Mystery,466694937-2,Lindsey Denesik,Ghana,1940-11-07,Bruen-Pfeffer,Mayotte
A Time of Gifts,Sen. Hung Bartoletti,Emard-Mante,1999-08-05,Textbook,249997085-5,Sen. Hung Bartoletti,Kenya,1964-06-06,Emard-Mante,Samoa
Recalled to Life,Moshe Zemlak,Streich and Sons,2000-05-03,Humor,762356005-0,Moshe Zemlak,Guatemala,1965-11-27,Streich and Sons,Guernsey
From Here to Eternity,Moshe Zemlak,Konopelski Group,1980-01-10,Folklore,819580308-3,Moshe Zemlak,Guatemala,1965-11-27,Konopelski Group,Cyprus
This Side of Paradise,Pasty Huels,"Jakubowski, Lubowitz and Weimann",2018-09-12,Textbook,435922916-X,Pasty Huels,Portugal,1946-03-08,"Jakubowski, Lubowitz and Weimann",Kazakhstan
In a Dry Season,Tomasa Stanton,"Douglas, Waelchi and Weimann",2014-07-03,Suspense/Thriller,596274177-3,Tomasa Stanton,Estonia,1974-03-08,"Douglas, Waelchi and Weimann",Kuwait
All Passion Spent,Cassaundra Ziemann,"Bartoletti, Walker and Daniel",1984-11-03,Fiction narrative,156031040-5,Cassaundra Ziemann,Sweden,1949-04-06,"Bartoletti, Walker and Daniel",Honduras
It's a Battlefield,Audry Tremblay VM,DuBuque-Ebert,1987-03-12,Mythopoeia,853998396-6,Audry Tremblay VM,Palestinian Territory,2003-03-21,DuBuque-Ebert,Finland
Tirra Lirra by the River,Lettie Armstrong,Bahringer LLC,1991-01-10,Fiction narrative,392610515-1,Lettie Armstrong,Qatar,1995-05-03,Bahringer LLC,Bhutan
The Curious Incident of the Dog in the Night-Time,Cassy Cronin,Okuneva and Sons,1978-02-03,Crime/Detective,185716286-2,Cassy Cronin,Liechtenstein,1940-03-22,Okuneva and Sons,Jamaica
A Confederacy of Dunces,Irving Haley DC,"Dickinson, Hartmann and Doyle",1983-03-17,Realistic fiction,524376435-3,Irving Haley DC,Bermuda,1938-12-31,"Dickinson, Hartmann and Doyle",Mexico
Nectar in a Sieve,Deandrea Simonis,Feeney-Kub,2006-11-22,Mythology,312037992-1,Deandrea Simonis,Pakistan,2000-08-17,Feeney-Kub,Timor-Leste
"The World, the Flesh and the Devil",Dr. Marty Stehr,Reichel Inc,1985-04-09,Fantasy,671290167-7,Dr. Marty Stehr,British Indian Ocean Territory (Chagos Archipelago),1989-10-24,Reichel Inc,Lesotho
Look to Windward,Nicholas McKenzie,Ebert LLC,1993-03-19,Speech,497981022-5,Nicholas McKenzie,China,1994-01-14,Ebert LLC,Central African Republic
Wildfire at Midnight,Elvis Rowe DC,Fritsch Group,1993-11-23,Fiction narrative,559677534-7,Elvis Rowe DC,French Southern Territories,2002-05-05,Fritsch Group,Honduras
Recalled to Life,Sommer Donnelly LLD,Lang and Sons,2022-07-05,Western,111328107-3,Sommer Donnelly LLD,Lesotho,2004-09-01,Lang and Sons,Liechtenstein
Ego Dominus Tuus,Jann Shields,"Schoen, Goodwin and Ebert",1978-04-07,Humor,529783720-0,Jann Shields,Zambia,1960-09-27,"Schoen, Goodwin and Ebert",Tonga
The Daffodil Sky,Vivien Kozey DVM,"Mosciski, Barrows and D'Amore",1984-03-31,Fiction in verse,747416097-8,Vivien Kozey DVM,Uganda,1966-06-20,"Mosciski, Barrows and D'Amore",Mexico
This Side of Paradise,Moshe Zemlak,Parker-Kunde,2010-11-05,Biography/Autobiography,921484482-8,Moshe Zemlak,Guatemala,1965-11-27,Parker-Kunde,Equatorial Guinea
A Darkling Plain,Prof. Mickey Kreiger,"Douglas, Waelchi and Weimann",1993-06-04,Essay,355132242-2,Prof. Mickey Kreiger,Thailand,1993-03-28,"Douglas, Waelchi and Weimann",Kuwait
Lilies of the Field,Tajuana Keeling,"Crona, Stoltenberg and Sipes",2006-10-19,Fantasy,166491734-9,Tajuana Keeling,Guernsey,1947-06-12,"Crona, Stoltenberg and Sipes",Liberia
A Monstrous Regiment of Women,Jerold Morar,Wilderman-Kuvalis,2015-11-11,Suspense/Thriller,667649365-9,Jerold Morar,Albania,1990-01-04,Wilderman-Kuvalis,Tokelau
Great Work of Time,Earlean Hermiston,Schiller-Spinka,1999-01-02,Historical fiction,329663797-4,Earlean Hermiston,United States of America,2005-03-26,Schiller-Spinka,Niger
Jacob Have I Loved,Marshall Moen LLD,Gislason and Sons,1991-09-03,Reference book,873872501-0,Marshall Moen LLD,Niue,1956-03-28,Gislason and Sons,Tonga
The Wives of Bath,Msgr. Jerry Sauer,Wiegand and Sons,1983-03-08,Essay,266186290-0,Msgr. Jerry Sauer,South Africa,2002-02-16,Wiegand and Sons,Dominica
Rosemary Sutcliff,Prof. Leopoldo Waters,Prohaska-Denesik,1980-05-30,Mystery,359671747-7,Prof. Leopoldo Waters,Libyan Arab Jamahiriya,1995-09-03,Prohaska-Denesik,Spain
